Timestamp,What is your name?,How can you be reached?,Phone Number:,Are you on a Meal Team?,Would you be willing to serve in any of the following areas of parish life?,"If none of the ministries previously listed seem like a good fit right now, are there other ways you would like to serve or participate in parish life?","Do you have talents, skills, certifications, professional experience, or interests that you would be willing to offer to the parish?","What ministries, programs, or areas of parish life would you like to see developed in the future?"
6/14/2026 19:52:09,Deetsan,I am in the Parish Directory,,Yes,"Community Outreach, Facilities & Groundskeeping, Welcome Booth & Ushers",,,
6/14/2026 20:29:08,Mankar Camoran,I am not in the Parish Directory,672-159,No,Building Committee,N/A,"I currently work as an electrical trainee at construction job sites for a licensed contractor. I have my state ET card, but I'm still pretty green. Either way, I can be of help if there's a state certified electrician who would need assistance on a project at the parish. I can also tutor kids if they need any help with school, especially math.","I'm still really new to the parish (only been here for four months), so I don't have much input here for now. So far, it's met all my needs. "
6/15/2026 12:44:50,S'krivva,I am in the Parish Directory,,No,"Flower Ministry, Liturgical Ministry, Media & Communications",,"Artisan - visual arts and book arts: analog photography, printmaking, bookmaking, creative writing, art archival, community art projects, gallery exhibition design","Artisan ministry? Offering workshops to teach skills, artisan farmers market to sell goods, directory of local artisans as resource, community garden on parish property, food pantry + donated clothing & home goods, "
6/15/2026 14:57:28,Adamus Phillida,I am not in the Parish Directory,429-683,Yes,Security Team,,,
6/21/2026 10:30:09,Seed-Neeus,I am in the Parish Directory,,Yes,"Building Committee, Orthodox School, Security Team",,I have experience in plumbing and I teach martial arts children and teens ,Catechism classes be year round 
6/21/2026 19:39:56,Fathis Aren,I am in the Parish Directory,,No,"Building Committee, Facilities & Groundskeeping",Yes,I’m a mechanic and I have a lot of tools for wrenching and yardwork etc,Not sure just want to help
6/21/2026 21:58:24,Vicente Valtieri,I am in the Parish Directory,,No,Media & Communications,"If there is anything I can do from home to help serve in some way, I would be happy to. Being my son’s full-time caretaker and all that it entails, I can’t commit to serving on church days, but we are home a lot and I’d be glad to serve in some way from home if possible.  Available generally Mondays and Tuesdays",,
6/25/2026 11:05:15,Carahil,I am in the Parish Directory,,No,"Choir, Facilities & Groundskeeping, Security Team",I can always do manual labor and clean for the Parish,I can do most handy work; have janitorial experience. I am a decent cook as well,I believe more potlucks can help the load of the cooking teams
6/25/2026 11:17:01,Gogron gro-Bolmog,I am in the Parish Directory,,Yes,"Choir, Flower Ministry, Media & Communications",,,I'd like to see outreach developed. I'd like to see Father's homilies posted on social media or just the excerpts posted on the YouTube page. Or the media team to mark/timestamp on the video or in the notes section of when the homily starts/ends for easy rewatch.
6/25/2026 11:48:51,Adoring Fan,I am in the Parish Directory,,Yes,"Building Committee, Burial Society, Events, Programs, & Fundraising",,"Willing to host- youth, YA, men’s, Women’s events",The Youth group needs work.  The PPC (part planning committee) is struggling- we need more people to serve.
6/25/2026 11:49:27,Baurus,I am in the Parish Directory,,I don't know,"Events, Programs, & Fundraising, Security Team, Saint Peter Youth (SPY) Engagement",,,
6/25/2026 19:44:01,Countess Millona Umbranox,I am in the Parish Directory,,Yes,"Burial Society, Choir, Community Outreach, Flower Ministry, Homebound, Liturgical Ministry, Welcome Booth & Ushers",All of the boxes I checked would be wonderful :),"I am a doula, and am happy to support expecting mothers at the parish.","I am not sure if this already exists, but I would be very interested to help facilitate/ be blessed by a ministry geared towards mothers connecting in the Church. Something like a monthly or bimonthly meet-up at a park or even at the parish, that allows mothers and their children to get to know one another!"
6/25/2026 19:45:11,Kalthar,I am in the Parish Directory,,Yes,"Burial Society, Events, Programs, & Fundraising, Flower Ministry, Welcome Booth & Ushers",,,"Women’s group, family park days"
6/26/2026 12:09:35,Teinaava,I am in the Parish Directory,,Yes,"Burial Society, Choir, Flower Ministry","Painting in the nave, as needed. I was as happy as a clam to quietly work for hours on the decorative border in 2024! ","Art-related tasks; rides to church for college students, etc.",
6/26/2026 14:34:46,Modryn Oreyn,I am in the Parish Directory,,Yes,"Burial Society, Facilities & Groundskeeping, Welcome Booth & Ushers",A church garden would be nice.,Vet advice?  Not really sure. ,I guess things that would help build a community. I don’t have specific ideas. 
6/28/2026 11:01:09,Ruma Camoran,I am not in the Parish Directory,857-340,No,"Choir, Community Outreach, Events, Programs, & Fundraising, Liturgical Ministry, Security Team",,"I have experience in administration, human resources, event planning, project coordination, volunteer management, and communications. I previously served in the U.S. Army as a Religious Affairs Specialist, supporting chaplains and ministry operations, and I currently work in ministry administration coordinating programs, meetings, volunteers, and large events. I enjoy organizing people and projects, creating efficient systems, and supporting the life of the Church behind the scenes. I would also be willing to assist with technology, hospitality, or other areas as needed","Children’s volunteer areas. With an influx of youth, having opportunities where the children 10+ can volunteer or serve. "
6/28/2026 11:49:44,Armand Christophe,I am in the Parish Directory,,Yes,"Events, Programs, & Fundraising, Media & Communications", ,Home nearby ,Women’s & young couples 
6/28/2026 11:52:07,Janus Hassildor,I am in the Parish Directory,,Yes,"Choir, Community Outreach, Flower Ministry, Orthodox School",Yes,Yes ,N/A 
6/28/2026 12:32:15,Weebam-Na,I am in the Parish Directory,,No,Media & Communications,,"Database design, data analysis, business intelligence analysis.
Certifications
Microsoft Certified Data Analysis with Power BI (PB-300)
Microsoft Certified Data Scientist (DS-100)
Workflow automations",
6/28/2026 16:32:23,Antoinetta Marie,I am in the Parish Directory,,No,"Choir, Security Team",,,Mothers group
6/28/2026 21:52:57,Jauffre,I am in the Parish Directory,,Yes,Building Committee,,,
6/29/2026 6:41:48,Dar Jee,I am in the Parish Directory,,Yes,Welcome Booth & Ushers,,,
6/29/2026 19:39:51,Thoronir,I am in the Parish Directory,,Yes,Building Committee,,,
7/7/2026 7:03:23,Raven Camoran,I am not in the Parish Directory,193-765,No,"Building Committee, Burial Society, Choir, Facilities & Groundskeeping, Liturgical Ministry, Media & Communications, Security Team, Saint Peter Youth (SPY) Engagement",,Painting and drawing. ,
7/11/2026 18:27:24,Burz gro-Khash,I am in the Parish Directory,,Yes,"Building Committee, Burial Society, Choir, Community Outreach, Facilities & Groundskeeping, Homebound, Security Team, Saint Peter Youth (SPY) Engagement",Strengthening Families in the parish,"Realtor, Investor","Mentorship (older men/ women to younger ones) including financial and business training, and Family skills dvlpmt/ problem solving. "
7/12/2026 9:33:21,Umbacano,I am in the Parish Directory,,I don't know,"Building Committee, Burial Society, Community Outreach, Facilities & Groundskeeping, Homebound, Liturgical Ministry, Welcome Booth & Ushers",,Certified for basic life support medical care (if needed),Prison ministry?
7/12/2026 12:36:40,Amusei,I am in the Parish Directory,,Yes,"Choir, Events, Programs, & Fundraising, Facilities & Groundskeeping",,"I love gardening and landscaping. I can host people at my house. I am in an administrative position and have experience with budgets, event planning, committees, etc. ",Serving the homeless 
7/13/2026 6:37:22,Dagail,I am in the Parish Directory,,Yes,Welcome Booth & Ushers,,,
7/13/2026 6:34:28,Count Hassildor,I am not in the Parish Directory,,No,"Choir, Security Team",,,
